id	zscore	logp	method	annotation	color
Otu502	-0.978	0.483861423	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5966	-0.958	0.470826397	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu29	-0.955	0.468776625	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu329	-0.924	0.449282577	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu533	-0.909	0.439734602	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5864	-0.89	0.427476902	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu24297	-0.873	0.417028071	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu26627	-0.851	0.403732874	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu25329	-0.846	0.400444409	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu3769	-0.842	0.39837452	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu5907	-0.828	0.389872387	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu485	-0.822	0.386158178	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu5861	-0.822	0.386369565	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_PSB-M-3	orange
Otu216	-0.807	0.376957566	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
