id	phylum	order	family	relative_average	group
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	3.57907E-06	F6_CC
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.003938313	F6_CC
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	9.60741E-05	F6_CC
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.005932935	F6_CC
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.002485869	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0.001179401	F6_CC
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	8.14247E-05	F6_CC
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.00766541	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.000903288	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	5.11123E-07	F6_CC
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.000967335	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	7.18867E-05	F6_CC
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	3.40753E-06	F6_CC
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0.000470811	F6_CC
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	0.003258678	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.006880848	F6_CC
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	0.00012282	F6_CC
Others	Others	Others	Others	0.254022042	F6_CC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	Bacteroidetes	Bacteroidales	Paraprevotellaceae	0.038489061	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteroidetes	Bacteroidales	Prevotellaceae	0.101150442	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Firmicutes	Clostridiales	Ruminococcaceae	0.121257617	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Firmicutes	Clostridiales	Lachnospiraceae	0.055626822	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteroidetes	Bacteroidales	Bacteroidaceae	0.086482046	F6_D25
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	Spirochaetes	Sphaerochaetales	Sphaerochaetaceae	0.021988353	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16	Bacteroidetes	Bacteroidales	RF16	0.000690415	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	Firmicutes	Clostridiales	Veillonellaceae	0.031458101	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteroidetes	Bacteroidales	Porphyromonadaceae	0.014366807	F6_D25
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	Spirochaetes	Spirochaetales	Spirochaetaceae	0.017133863	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	Firmicutes	Clostridiales	Clostridiaceae	0.004661126	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	Bacteroidetes	Bacteroidales	S24-7	0.03187181	F6_D25
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	Firmicutes	Erysipelotrichales	Erysipelotrichaceae	0.06750178	F6_D25
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Proteobacteria	Enterobacteriales	Enterobacteriaceae	0.020515488	F6_D25
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Firmicutes	Lactobacillales	Lactobacillaceae	0.021160934	F6_D25
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Fusobacteria	Fusobacteriales	Fusobacteriaceae	0.062119961	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae	Bacteroidetes	Bacteroidales	Odoribacteraceae	0.01649861	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Firmicutes	Clostridiales	Christensenellaceae	0.015492517	F6_D25
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	Firmicutes	Lactobacillales	Streptococcaceae	0.000906563	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11	Bacteroidetes	Bacteroidales	BS11	0.002795236	F6_D25
Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	Verrucomicrobia	WCHB1-41	RFP12	0.002593778	F6_D25
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	Proteobacteria	Pasteurellales	Pasteurellaceae	0.00253412	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Firmicutes	Clostridiales	Peptostreptococcaceae	0.000311481	F6_D25
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	0.000107025	F6_D25
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	5.90585E-05	F6_D25
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	0.000430498	F6_D25
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	9.32345E-05	F6_D25
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.009066231	F6_D25
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	0.000244029	F6_D25
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.011364416	F6_D25
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.005299977	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0.009241308	F6_D25
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	0.003628951	F6_D25
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.004066643	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.005261903	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	0.00027011	F6_D25
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.000511141	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	0.000207454	F6_D25
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	2.39831E-06	F6_D25
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0.000349554	F6_D25
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	1.40901E-05	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.00710381	F6_D25
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	0.000152293	F6_D25
Others	Others	Others	Others	0.204918945	F6_D25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	Bacteroidetes	Bacteroidales	Paraprevotellaceae	0.047209308	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteroidetes	Bacteroidales	Prevotellaceae	0.173076295	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Firmicutes	Clostridiales	Ruminococcaceae	0.151482141	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Firmicutes	Clostridiales	Lachnospiraceae	0.093069143	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteroidetes	Bacteroidales	Bacteroidaceae	0.010927092	F6_D120
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	Spirochaetes	Sphaerochaetales	Sphaerochaetaceae	0.024367084	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16	Bacteroidetes	Bacteroidales	RF16	0.019412697	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	Firmicutes	Clostridiales	Veillonellaceae	0.022820706	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteroidetes	Bacteroidales	Porphyromonadaceae	0.012490608	F6_D120
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	Spirochaetes	Spirochaetales	Spirochaetaceae	0.072821701	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	Firmicutes	Clostridiales	Clostridiaceae	0.008408481	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	Bacteroidetes	Bacteroidales	S24-7	0.022000529	F6_D120
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	Firmicutes	Erysipelotrichales	Erysipelotrichaceae	0.02439679	F6_D120
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Proteobacteria	Enterobacteriales	Enterobacteriaceae	0.001353568	F6_D120
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Firmicutes	Lactobacillales	Lactobacillaceae	0.03152578	F6_D120
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Fusobacteria	Fusobacteriales	Fusobacteriaceae	0.000130634	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae	Bacteroidetes	Bacteroidales	Odoribacteraceae	2.14232E-05	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Firmicutes	Clostridiales	Christensenellaceae	0.013665745	F6_D120
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	Firmicutes	Lactobacillales	Streptococcaceae	0.015606119	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11	Bacteroidetes	Bacteroidales	BS11	0.011915799	F6_D120
Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	Verrucomicrobia	WCHB1-41	RFP12	0.00811722	F6_D120
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	Proteobacteria	Pasteurellales	Pasteurellaceae	6.05563E-05	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Firmicutes	Clostridiales	Peptostreptococcaceae	0.001285299	F6_D120
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	0.001077922	F6_D120
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	1.58056E-05	F6_D120
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	6.81735E-05	F6_D120
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	2.03759E-05	F6_D120
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.002700281	F6_D120
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	0.000202616	F6_D120
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.003685179	F6_D120
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.000691066	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0.003693843	F6_D120
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	3.35155E-05	F6_D120
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.002326564	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.000197856	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	0	F6_D120
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.000101118	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	4.78928E-05	F6_D120
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	1.90429E-07	F6_D120
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0.000714108	F6_D120
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	0.001446021	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.006746513	F6_D120
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	0.000256888	F6_D120
Others	Others	Others	Others	0.209809352	F6_D120
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	Bacteroidetes	Bacteroidales	Paraprevotellaceae	0.045009354	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteroidetes	Bacteroidales	Prevotellaceae	0.128978325	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Firmicutes	Clostridiales	Ruminococcaceae	0.161687767	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Firmicutes	Clostridiales	Lachnospiraceae	0.101508517	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteroidetes	Bacteroidales	Bacteroidaceae	0.011979895	F6_D240
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	Spirochaetes	Sphaerochaetales	Sphaerochaetaceae	0.020048514	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16	Bacteroidetes	Bacteroidales	RF16	0.025403171	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	Firmicutes	Clostridiales	Veillonellaceae	0.020793095	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteroidetes	Bacteroidales	Porphyromonadaceae	0.016100947	F6_D240
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	Spirochaetes	Spirochaetales	Spirochaetaceae	0.07147181	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	Firmicutes	Clostridiales	Clostridiaceae	0.00807158	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	Bacteroidetes	Bacteroidales	S24-7	0.016988265	F6_D240
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	Firmicutes	Erysipelotrichales	Erysipelotrichaceae	0.009619053	F6_D240
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Proteobacteria	Enterobacteriales	Enterobacteriaceae	0.00230443	F6_D240
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Firmicutes	Lactobacillales	Lactobacillaceae	0.034554611	F6_D240
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Fusobacteria	Fusobacteriales	Fusobacteriaceae	0.002599241	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae	Bacteroidetes	Bacteroidales	Odoribacteraceae	4.34282E-05	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Firmicutes	Clostridiales	Christensenellaceae	0.010959786	F6_D240
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	Firmicutes	Lactobacillales	Streptococcaceae	0.020561832	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11	Bacteroidetes	Bacteroidales	BS11	0.009896933	F6_D240
Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	Verrucomicrobia	WCHB1-41	RFP12	0.010969049	F6_D240
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	Proteobacteria	Pasteurellales	Pasteurellaceae	6.45349E-05	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Firmicutes	Clostridiales	Peptostreptococcaceae	0.001101346	F6_D240
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	0.000809724	F6_D240
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	4.73762E-05	F6_D240
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	0.000280917	F6_D240
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	7.97196E-06	F6_D240
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.001957688	F6_D240
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	0.000160882	F6_D240
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.00193901	F6_D240
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.000815722	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0.004775968	F6_D240
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	0.001062777	F6_D240
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.002701434	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.000826959	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	6.23332E-05	F6_D240
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.001226772	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	7.71382E-05	F6_D240
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	4.87429E-05	F6_D240
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0.000116846	F6_D240
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	0.002078558	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.007065821	F6_D240
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	0.000297848	F6_D240
Others	Others	Others	Others	0.242924025	F6_D240
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	Bacteroidetes	Bacteroidales	Paraprevotellaceae	0.001779432	F6_IC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteroidetes	Bacteroidales	Prevotellaceae	0.003823252	F6_IC
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Firmicutes	Clostridiales	Ruminococcaceae	0.003560246	F6_IC
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Firmicutes	Clostridiales	Lachnospiraceae	0.015182903	F6_IC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteroidetes	Bacteroidales	Bacteroidaceae	0.004296283	F6_IC
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	Spirochaetes	Sphaerochaetales	Sphaerochaetaceae	0.000398823	F6_IC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16	Bacteroidetes	Bacteroidales	RF16	0.000539646	F6_IC
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	Firmicutes	Clostridiales	Veillonellaceae	0.004104551	F6_IC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteroidetes	Bacteroidales	Porphyromonadaceae	0.000810245	F6_IC
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	Spirochaetes	Spirochaetales	Spirochaetaceae	0.000618685	F6_IC
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	Firmicutes	Clostridiales	Clostridiaceae	0.297912657	F6_IC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	Bacteroidetes	Bacteroidales	S24-7	0.001423235	F6_IC
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	Firmicutes	Erysipelotrichales	Erysipelotrichaceae	0.000530154	F6_IC
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Proteobacteria	Enterobacteriales	Enterobacteriaceae	0.217328922	F6_IC
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Firmicutes	Lactobacillales	Lactobacillaceae	0.055476151	F6_IC
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Fusobacteria	Fusobacteriales	Fusobacteriaceae	0.014454632	F6_IC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae	Bacteroidetes	Bacteroidales	Odoribacteraceae	3.10637E-05	F6_IC
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Firmicutes	Clostridiales	Christensenellaceae	7.16191E-05	F6_IC
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	Firmicutes	Lactobacillales	Streptococcaceae	0.004991074	F6_IC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11	Bacteroidetes	Bacteroidales	BS11	0.000224867	F6_IC
Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	Verrucomicrobia	WCHB1-41	RFP12	9.42265E-05	F6_IC
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	Proteobacteria	Pasteurellales	Pasteurellaceae	0.059921022	F6_IC
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Firmicutes	Clostridiales	Peptostreptococcaceae	0.037558607	F6_IC
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	0.029356236	F6_IC
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	0.028421563	F6_IC
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	0.008073457	F6_IC
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	0.007596801	F6_IC
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.004549797	F6_IC
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	0.004364105	F6_IC
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.000777455	F6_IC
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.000920866	F6_IC
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0.000136335	F6_IC
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	0.001356448	F6_IC
