id	phylum	order	family	relative_average	group
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	0.02201098	F7_IM
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	0.002062205	F7_IM
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	0.000992764	F7_IM
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	0.00043652	F7_IM
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.002194036	F7_IM
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	0.001758861	F7_IM
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.009988176	F7_IM
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.003851333	F7_IM
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0.001616941	F7_IM
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	0.048081127	F7_IM
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.004324174	F7_IM
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.000503108	F7_IM
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	0.000124432	F7_IM
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.00027375	F7_IM
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	0.000193037	F7_IM
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	2.01781E-06	F7_IM
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0.000860934	F7_IM
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	0.001186474	F7_IM
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.003443735	F7_IM
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	0.000127795	F7_IM
Others	Others	Others	Others	0.219291909	F7_IM
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	Bacteroidetes	Bacteroidales	Paraprevotellaceae	0.01136718	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteroidetes	Bacteroidales	Prevotellaceae	0.086708215	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Firmicutes	Clostridiales	Ruminococcaceae	0.117136839	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Firmicutes	Clostridiales	Lachnospiraceae	0.162090825	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteroidetes	Bacteroidales	Bacteroidaceae	0.123734327	Human_Feces
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	Spirochaetes	Sphaerochaetales	Sphaerochaetaceae	0	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16	Bacteroidetes	Bacteroidales	RF16	0	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	Firmicutes	Clostridiales	Veillonellaceae	0.029369462	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteroidetes	Bacteroidales	Porphyromonadaceae	0.021733105	Human_Feces
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	Spirochaetes	Spirochaetales	Spirochaetaceae	0.000129673	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	Firmicutes	Clostridiales	Clostridiaceae	0.004233677	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	Bacteroidetes	Bacteroidales	S24-7	0.002459829	Human_Feces
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	Firmicutes	Erysipelotrichales	Erysipelotrichaceae	0.007047879	Human_Feces
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Proteobacteria	Enterobacteriales	Enterobacteriaceae	0.069709166	Human_Feces
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Firmicutes	Lactobacillales	Lactobacillaceae	0.002465273	Human_Feces
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Fusobacteria	Fusobacteriales	Fusobacteriaceae	0.020024588	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae	Bacteroidetes	Bacteroidales	Odoribacteraceae	0.001450161	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Firmicutes	Clostridiales	Christensenellaceae	0.001200713	Human_Feces
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	Firmicutes	Lactobacillales	Streptococcaceae	0.037975398	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11	Bacteroidetes	Bacteroidales	BS11	8.4139E-06	Human_Feces
Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	Verrucomicrobia	WCHB1-41	RFP12	0	Human_Feces
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	Proteobacteria	Pasteurellales	Pasteurellaceae	0.010986574	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Firmicutes	Clostridiales	Peptostreptococcaceae	0.001759	Human_Feces
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	5.39479E-05	Human_Feces
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	0.000156894	Human_Feces
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	0.002974561	Human_Feces
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	7.42402E-06	Human_Feces
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.005964961	Human_Feces
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	4.94935E-07	Human_Feces
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.019935005	Human_Feces
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0	Human_Feces
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	0.000177682	Human_Feces
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.029772835	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.013298912	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	0.007504209	Human_Feces
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.009173131	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	0.081593553	Human_Feces
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	0.029891619	Human_Feces
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0.022541829	Human_Feces
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	1.5343E-05	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.003266573	Human_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	1.28683E-05	Human_Feces
Others	Others	Others	Others	0.06206786	Human_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paraprevotellaceae	Bacteroidetes	Bacteroidales	Paraprevotellaceae	0	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteroidetes	Bacteroidales	Prevotellaceae	0.002019831	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	Firmicutes	Clostridiales	Ruminococcaceae	0.085191403	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Firmicutes	Clostridiales	Lachnospiraceae	0.225530315	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteroidetes	Bacteroidales	Bacteroidaceae	0.006942623	Mouse_Feces
Bacteria;Spirochaetes;Spirochaetes;Sphaerochaetales;Sphaerochaetaceae	Spirochaetes	Sphaerochaetales	Sphaerochaetaceae	0	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;RF16	Bacteroidetes	Bacteroidales	RF16	0	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	Firmicutes	Clostridiales	Veillonellaceae	0	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteroidetes	Bacteroidales	Porphyromonadaceae	0.000743228	Mouse_Feces
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae	Spirochaetes	Spirochaetales	Spirochaetaceae	0	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	Firmicutes	Clostridiales	Clostridiaceae	0.001127958	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	Bacteroidetes	Bacteroidales	S24-7	0.125255758	Mouse_Feces
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	Firmicutes	Erysipelotrichales	Erysipelotrichaceae	0.008297921	Mouse_Feces
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	Proteobacteria	Enterobacteriales	Enterobacteriaceae	5.24692E-05	Mouse_Feces
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Firmicutes	Lactobacillales	Lactobacillaceae	0.008551493	Mouse_Feces
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Fusobacteria	Fusobacteriales	Fusobacteriaceae	0	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae	Bacteroidetes	Bacteroidales	Odoribacteraceae	0.014322439	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Firmicutes	Clostridiales	Christensenellaceae	6.99508E-05	Mouse_Feces
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	Firmicutes	Lactobacillales	Streptococcaceae	0.000035	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;BS11	Bacteroidetes	Bacteroidales	BS11	0	Mouse_Feces
Bacteria;Verrucomicrobia;Verruco-5;WCHB1-41;RFP12	Verrucomicrobia	WCHB1-41	RFP12	0	Mouse_Feces
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	Proteobacteria	Pasteurellales	Pasteurellaceae	0	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Firmicutes	Clostridiales	Peptostreptococcaceae	0	Mouse_Feces
Bacteria;Firmicutes;Bacilli;Turicibacterales;Turicibacteraceae	Firmicutes	Turicibacterales	Turicibacteraceae	0.000821923	Mouse_Feces
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae	Actinobacteria	Actinomycetales	Microbacteriaceae	0	Mouse_Feces
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	Firmicutes	Bacillales	Bacillaceae	0	Mouse_Feces
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	Firmicutes	Lactobacillales	Leuconostocaceae	0	Mouse_Feces
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	Proteobacteria	Desulfovibrionales	Desulfovibrionaceae	0.001442737	Mouse_Feces
Bacteria;Thermi;Deinococci;Thermales;Thermaceae	Thermi	Thermales	Thermaceae	0	Mouse_Feces
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	Proteobacteria	Campylobacterales	Campylobacteraceae	0.00000875	Mouse_Feces
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	Proteobacteria	Campylobacterales	Helicobacteraceae	0.00505395	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5	Bacteroidetes	Bacteroidales	p-2534-18B5	0	Mouse_Feces
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Proteobacteria	Pseudomonadales	Pseudomonadaceae	0.00222094	Mouse_Feces
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	Proteobacteria	Burkholderiales	Alcaligenaceae	0.006601619	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteroidetes	Bacteroidales	Rikenellaceae	0.124390116	Mouse_Feces
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae	Bacteroidetes	Bacteroidales	Barnesiellaceae	0	Mouse_Feces
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiaceae	0.018589441	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Tissierellaceae	Firmicutes	Clostridiales	Tissierellaceae	0	Mouse_Feces
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	Proteobacteria	Oceanospirillales	Halomonadaceae	0.000507144	Mouse_Feces
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae	Actinobacteria	Actinomycetales	Corynebacteriaceae	0	Mouse_Feces
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	Tenericutes	Anaeroplasmatales	Anaeroplasmataceae	0.006356785	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Mogibacteriaceae	Firmicutes	Clostridiales	Mogibacteriaceae	0.002658133	Mouse_Feces
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	Firmicutes	Clostridiales	Dehalobacteriaceae	0.002028575	Mouse_Feces
Others	Others	Others	Others	0.351179503	Mouse_Feces
